,active,address,address_line_2,city,county,createdate,dayphone,license,organization,state,type,ubi,zip
891,ACTIVE (ISSUED),490 SR 409,,CATHLAMET,WAHKIAKUM,20171116,3605183087,415842,ROYAL HIGHNESS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033553580010000,986120000
892,ACTIVE (ISSUED),24 COW TRAIL ROAD,,TONASKET,OKANOGAN,20180302,8312772061,413912,ARCHANGEL BOTANICALS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033752390010000,988559715
893,ACTIVE (ISSUED),99 GREENACRES RD SUITE E,,RIVERSIDE,OKANOGAN,20170713,5093224772,412240,CANNASOL FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033240110010000,988499625
894,ACTIVE (ISSUED),175 ZION LANE,,CASHMERE,CHELAN,20171214,5098601007,412609,ZION BOTANICALS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033502880010000,988150000
895,ACTIVE (ISSUED),504 S ADAMS,,HOQUIAM,GRAYS HARBOR,20180105,3603007111,415825,GOLD COAST GROWERS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033543020010000,985503551
896,ACTIVE (ISSUED),55 REVIS BASIN RD,STE D,TONASKET,OKANOGAN,20171208,3603380912,416624,GREEN FORCE PHARM,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034711000010000,988550000
897,ACTIVE (ISSUED),142 PEMBERTON PL STE B,,FRIDAY HARBOR,SAN JUAN,20171205,3602980438,412950,GREEN ISLAND GROWERS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033539070010000,982507099
898,ACTIVE (ISSUED),2106 E BROADWAY,,SPOKANE,SPOKANE,20170428,5096556654,412625,CANNAPOTHECARY,WA,MARIJUANA PROCESSOR,6035733090010000,992022803
899,ACTIVE (ISSUED),400 BURDIN AVE,,GRAND COULEE,GRANT,20180227,5096332453,414558,B STREET BUD,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6032410690010000,991335009
900,ACTIVE (ISSUED),3213 S 38TH STE C,,TACOMA,PIERCE,20180116,2533768562,84154,25 TREES,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033600740010000,984041094
901,ACTIVE (ISSUED),7800 POSTMA ROAD   STE 5,STE 5,MOXEE,YAKIMA,20171205,8088701439,416888,BERT'S BUDS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6035163000010000,989360000
902,ACTIVE (ISSUED),99 MOON DUST RD,,TONASKET,OKANOGAN,20171102,2068536702,423175,MILLER MARIJUANA FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033463910010000,988559791
903,ACTIVE (ISSUED),19221 63RD AVE NE #1,,ARLINGTON,SNOHOMISH,20170901,4254185282,416105,NASTY JACK'S CANDY COMPANY,WA,MARIJUANA PROCESSOR,6035400960010000,982234708
904,ACTIVE (ISSUED),91 RAZOR RD,,TONASKET,OKANOGAN,20171128,5094291456,412610,CANNABIS CREATIONS 509,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033501280010000,988559698
905,ACTIVE (ISSUED),3901 AIRPORT WAY S,,SEATTLE,KING,20171117,2062763995,412156,UNAFLORA,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033493990010000,981085237
906,ACTIVE (ISSUED),46 HOPE LANE,,EASTSOUND,SAN JUAN,20180212,3603762586,421766,NW CONNOISSEURS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033459530010000,982450000
907,ACTIVE (ISSUED),23097 BAIRD SPRINGS RD,,QUINCY,GRANT,20171227,4254428891,413198,EMERALD SEA OF GREEN,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033556620010000,988489637
908,ACTIVE (ISSUED),8531 POSTMA RD STE A,STE A,MOXEE,YAKIMA,20170714,5092664348,412457,PALADIN AGRICULTURAL RESEARCH INC,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6035185830010000,989369317
909,ACTIVE (ISSUED),1815 PINE CREEK RD STE B,STE B,TONASKET,OKANOGAN,20171222,2062763553,416893,BIG DADDY PURP CORP,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033606770010000,988550000
910,ACTIVE (ISSUED),834 BADGER GULCH STE D,STE D,GOLDENDALE,KLICKITAT,20171128,3606008069,417157,GREENFINGERS PROCESSING,WA,MARIJUANA PROCESSOR,6040299380010000,986202912
911,ACTIVE (ISSUED),18729 FIR ISLAND RD STE C,,MOUNT VERNON,SKAGIT,20170616,3604456221,414574,PRC,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033210770010000,982738159
912,ACTIVE (ISSUED),12720 278TH DR NE STE 1,,GRANITE FALLS,SNOHOMISH,20171220,2069144645,413464,DNA GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033554210010000,982528939
913,ACTIVE (ISSUED),3002 6TH AVE STE 100,,TACOMA,PIERCE,20171227,2539614231,424311,MARY MART,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033576040010000,984066203
914,ACTIVE (ISSUED),2413 E UNION ST,,SEATTLE,KING,20171011,2064202180,413809,PONDER,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033536020010000,981223045
915,ACTIVE (ISSUED),8630 S MARCH POINT RD,,ANACORTES,SKAGIT,20171023,3606610168,413534,HIGH SOCIETY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033531970010000,982213412
916,ACTIVE (ISSUED),53 NEIL CANYON RD,,TONASKET,OKANOGAN,20171202,4254220113,412368,BUNYON ENTERPRISE,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033509690010000,988550000
917,ACTIVE (ISSUED),318 E PACIFIC AVE,,SPOKANE,SPOKANE,20180126,5092637368,413860,UAHI,WA,MARIJUANA PROCESSOR,6033544580010000,992011433
918,ACTIVE (ISSUED),13220 HWY 99 S,,EVERETT,SNOHOMISH,20171102,2069724990,416102,KUSHMART SOUTH EVERETT,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035539770010000,982045424
919,ACTIVE (ISSUED),14221 LAKE ROAD,,LYNNWOOD,SNOHOMISH,20171207,5098697574,421667,GREEN LADY EVERETT,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035644790010000,980871710
920,ACTIVE (ISSUED),2345 MCELDOWNEY RD STE 1,,MALAGA,CHELAN,20180220,5098882076,417443,SPENCER FARM,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6010458870010000,988289752
921,ACTIVE (ISSUED),440 GRUBB RD STE 4,,WENATCHEE,CHELAN,20180103,4254954084,415927,PLATEAU GROWERS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033579280010000,998800000
922,ACTIVE (ISSUED),1510 N WENATCHEE AVE,,WENATCHEE,CHELAN,20171214,4254710283,414065,THE JOINT,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033488710010000,988011157
923,ACTIVE (ISSUED),23440 PACIFIC HWY S,,KENT,KING,20171019,2065793661,413603,THE GREEN RECREATIONAL CANNABIS,WA,MARIJUANA RETAILER,6034431900010000,980322718
924,ACTIVE (ISSUED),938 N 200TH ST STE C,,SHORELINE,KING,20170919,2066295235,425585,CANNABIS PROVISIONS INC.,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6032377590010000,981333149
925,ACTIVE (ISSUED),9889 PADILLA HEIGHTS RD BDLG 3,BLDG 3  UNIT 6,ANACORTES,SKAGIT,20171127,2533124612,424306,NORTHWEST SERVICES UNLIMITED,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033507990010000,982210000
926,ACTIVE (ISSUED),214 BATES RD STE A,,WHITE SALMON,KLICKITAT,20170831,5094933341,412819,EARTH RISING FARM,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033548960010000,986728504
927,PENDING (ISSUED),33081 STATE ROUTE 20,,SEDRO WOOLLEY,SKAGIT,20171108,4258904416,416206,PLAN C FARMS LLC,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6035547800010000,982848044
928,ACTIVE (ISSUED),356 MOSES COULEE ROAD,,WATERVILLE,DOUGLAS,20171102,5097317141,412248,CHESHIRE CREEK,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033419330010000,988580000
929,ACTIVE (ISSUED),27602 NORTH MONROE,,DEER PARK,SPOKANE,20180104,5096325531,413197,PRR ENTERPRISES,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033554380010000,990065032
930,ACTIVE (ISSUED),7510 5TH AVE S,,SEATTLE,KING,20180221,2066836707,416698,PROHIBITION GOLD,WA,MARIJUANA PROCESSOR,6033551090010000,981084114
931,ACTIVE (ISSUED),2005 DIVISION ST,,BELLINGHAM,WHATCOM,20170829,3607463366,412082,TRAIL BLAZIN PRODUCTIONS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033285310010000,982268058
932,ACTIVE (ISSUED),5603 STATE ROUTE 12,STE A,PORTER,GRAYS HARBOR,20171202,3604702771,412426,GROWTH INDUSTRIES,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033494410010000,985590000
933,ACTIVE (ISSUED),1210 N WENATCHEE AVE STE J,,WENATCHEE,CHELAN,20170622,5096696835,420934,THE HAPPY CROP SHOPPE,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6034229530010000,988016707
934,ACTIVE (ISSUED),17547 15TH AVE NE,,SHORELINE,KING,20171214,2066968327,421876,KUSH KLUB,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6040720270010000,981553801
935,ACTIVE (ISSUED),1625 E SCRIVNER RD,,PORT ANGELES,CLALLAM,20180228,3606708584,425332,SHERI BURKE,WA,MARIJUANA PROCESSOR,6042041450010000,983628961
936,ACTIVE (ISSUED),19937 NE 154TH ST,,WOODINVILLE,KING,20171220,2069725581,414202,MINK FARM ORGANICS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033578620010000,980775629
937,ACTIVE (ISSUED),17517 15TH AVE NE #B,,SHORELINE,KING,20171228,4259194183,423784,365 RECREATIONAL CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6034296550010000,981553801
938,ACTIVE (ISSUED),5602 STATE ROUTE 270 STE B,,PULLMAN,WHITMAN,20171214,4257896996,422138,"PABLO & CO., LLC",WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035699590010000,991638708
939,ACTIVE (ISSUED),8531 POSTMA RD STE H,,MOXEE,YAKIMA,20171216,5415214201,416598,NATURAL BLUME,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033486030010000,989369317
940,ACTIVE (ISSUED),1714 HEWITT AVENUE STE 306,STE 306,EVERETT,SNOHOMISH,20171108,4259054619,425447,YAROK,WA,MARIJUANA TRANSPORTATION,6041583740010000,982013575
941,ACTIVE (ISSUED),2870 OCEAN AVE BLDG 2,,RAYMOND,PACIFIC,20171205,4254876331,416996,LESTER FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033534690010000,985774926
942,ACTIVE (ISSUED),6000 WARNER CANYON RD  STE A,STE A,CASHMERE,CHELAN,20180227,5096790965,412301,GREEN GHOST,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033485350010000,988159788
943,ACTIVE (ISSUED),126 NEWMAN CREEK RD,UNIT 2,ELMA,GRAYS HARBOR,20170801,7142134262,416706,MAGIC TIME FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6035064580010000,985419536
944,ACTIVE (ISSUED),5805 E SHARP AVE STE C6,,SPOKANE VALLEY,SPOKANE,20171228,5099445355,412441,NORTHWEST 7 POINT,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033493090010000,992120955
945,ACTIVE (ISSUED),6435 ROARING CREEK RD STE A,STE A,ENTIAT,CHELAN,20171103,4255772509,416486,NEW LEAF ENTERPRISES,WA,MARIJUANA PRODUCER TIER 2,6034369230010000,988220000
946,PENDING (ISSUED),74 PIT RD STE D,,BREWSTER,OKANOGAN,20180111,2067556915,423115,OKANOGAN GOLD,WA,MARIJUANA PRODUCER TIER 3,6033577130010000,988129676
947,ACTIVE (ISSUED),114 W PACIFIC AVE  STE 207,STE 207,SPOKANE,SPOKANE,20170713,8445403876,425220,GO GREEN ENTERPRISES,WA,MARIJUANA TRANSPORTATION,6036178440010000,992013628
948,ACTIVE (ISSUED),2294 STATE ROUTE 109,,HOQUIAM,GRAYS HARBOR,20171201,2539059448,414712,THE WEED SHACK,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033599480010000,985500000
949,ACTIVE (ISSUED),8531 POSTMA RD STE F,STE F,MOXEE,YAKIMA,20180105,5032015067,416730,EGS FARM,WA,MARIJUANA PRODUCER TIER 3,6033580140010000,989369317
950,ACTIVE (ISSUED),886 HIGHLAND ORCHARD RD NE,STE B,BRIDGEPORT,DOUGLAS,20170906,2069207128,412174,GREENLUCK,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6034444590010000,988139758
951,ACTIVE (ISSUED),922 E 3RD AVE UNIT A,,SPOKANE,SPOKANE,20180103,5099193650,414395,GROWSTATE-ONE,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033570500010000,992024508
952,ACTIVE (ISSUED),824 S 28TH ST,STE B,TACOMA,PIERCE,20171012,5096297370,416975,AGRIJUANA,WA,MARIJUANA PROCESSOR,6015536530010000,984098105
953,ACTIVE (ISSUED),283 COURTNEY RD STE C,,WHITE SALMON,KLICKITAT,20171207,5414900988,416051,GORGE GROWN FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033587620010000,986728811
954,ACTIVE (ISSUED),30356 HIGHWAY 243 S LOT 5,,MATTAWA,GRANT,20180223,3602414303,425099,BINX BUDS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033564940010000,993498257
955,ACTIVE (ISSUED),14608 HWY 99 SUITE #304,,LYNNWOOD,SNOHOMISH,20180122,2067553751,422109,PUGET SOUND MARIJUANA,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035559160010000,980875500
956,ACTIVE (ISSUED),15505 N WEBBER CANYON RD STE G,STE G,BENTON CITY,BENTON,20171103,5094801880,425793,GRN,WA,MARIJUANA PRODUCER TIER 2,6034253610010000,993206508
957,ACTIVE (ISSUED),234 OTTO STREET    STE R-3,STE R-3,PORT TOWNSEND,JEFFERSON,20171205,3605097460,416772,KOHL PROCESSING ENTERPRISES,WA,MARIJUANA PROCESSOR,6033606660010000,983689720
958,ACTIVE (ISSUED),306 S UNION RD STE B,,ELMA,GRAYS HARBOR,20171018,3605562339,416010,SOUTH BAY MASTER GROWERS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033593460010000,985419432
959,ACTIVE (ISSUED),102003 E BADGER RD #A,,KENNEWICK,BENTON,20171018,5095454982,412375,BODY WORKS ALTERNATIVES,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6013374520010000,993381160
960,ACTIVE (ISSUED),625 N CALLOW AVE,,BREMERTON,KITSAP,20171212,3606162014,414656,PACIFIC CANNABIS COMPANY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033573300010000,983123903
961,ACTIVE (ISSUED),212 SE BANJO LN,,SHELTON,MASON,20170901,3605354083,414152,MAC GARDEN,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033576260010000,985849204
962,ACTIVE (ISSUED),50 WEST WESTFIELD COURT #1,,SHELTON,MASON,20171023,2069793466,413655,STONE AGE GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034099960010000,985846361
963,ACTIVE (ISSUED),139 GREENACRES RD   UNIT 4,UNIT 4,RIVERSIDE,OKANOGAN,20171130,2067557518,412372,LADYHELM FARM,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033477050010000,988490000
964,ACTIVE (ISSUED),1578 MOORE ST,,SEDRO WOOLLEY,SKAGIT,20180103,3603030696,417227,GREEN RIDGE PRODUCTIONS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033586870010000,982047523
965,ACTIVE (ISSUED),1209 HWY 281 SPUR SUITE K,,QUINCY,GRANT,20180105,4257530673,422361,"MOUNT BAKER RETAIL PARTNERS, LLC",WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033568920010000,988489510
966,ACTIVE (ISSUED),405 E UNION ST,,CENTRALIA,LEWIS,20171023,3607891364,422450,MARIJUANA MART,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033513410010000,985313759
967,ACTIVE (ISSUED),8531 POSTMA RD STE MA,,MOXEE,YAKIMA,20180301,5094752335,425625,MAX GREEN,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6032777140010000,989360000
968,ACTIVE (ISSUED),541 W HONEYSUCKLE LN,,SHELTON,MASON,20180108,2063077607,416406,THE HOLLINGSWORTH CANNABIS COMPANY,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033548680010000,985846802
969,ACTIVE (ISSUED),7019 RD 9 NW STE S,,EPHRATA,GRANT,20170110,2063841904,416141,ACME MEDICINALS S,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033557810010000,988239722
970,ACTIVE (ISSUED),3623 MCGEE RD,,BLAINE,WHATCOM,20171201,3608783738,416983,R2 KUSTOMS,WA,MARIJUANA PRODUCER TIER 3,6033591490010000,982300000
971,ACTIVE (ISSUED),19510 N SANDS RD  STE A,,COLBERT,SPOKANE,20171227,5099935810,412442,DRIFTWOOD FARMS GREENBLUFF,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033493480010000,990059599
972,ACTIVE (ISSUED),32508 W KELLY RD STE A,,BENTON CITY,BENTON,20170628,2066966836,423670,GREEN POINT,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033190510010000,993207616
973,ACTIVE (ISSUED),17447 PETERSON RD  STE 2,,BURLINGTON,SKAGIT,20170927,4253878227,412377,GLENS PLANT FARM,WA,MARIJUANA PRODUCER TIER 2,6034388400010000,982333546
974,ACTIVE (ISSUED),540 RONLEE LN NW STE B,,OLYMPIA,THURSTON,20180120,3609709590,413123,MANASTASH GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033564380010000,985029265
975,ACTIVE (ISSUED),261 STATE HWY 28 WEST,,SOAP LAKE,GRANT,20171219,3609154944,422363,2020 SOLUTIONS SOAP LAKE,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035723460010000,988510000
976,ACTIVE (ISSUED),161 KIRKPATRICK RD,,ELK,PEND OREILLE,20171129,5099398539,412601,BBB FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033467850010000,990099533
977,ACTIVE (ISSUED),3631 AIRPORT RD,,PULLMAN,WHITMAN,20180201,5096546800,417404,"RYSE, LLC",WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6040776300010000,991630000
978,PENDING (ISSUED),3478 ENTIAT RIVER RD,,ENTIAT,CHELAN,20180125,5098818707,416387,WANDER FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033510150010000,988229714
979,ACTIVE (ISSUED),126 NEWMAN CREEK RD,UNIT A,ELMA,GRAYS HARBOR,20170919,2068182046,413203,ALFHILD VENTURES,WA,MARIJUANA PROCESSOR,6033560860010000,985419536
980,ACTIVE (ISSUED),7390 STATE HWY 3 SW STE E,,BREMERTON,KITSAP,20171003,3605517904,412778,WASHINGTON STATE PRODUCER,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033319250010000,983124964
981,PENDING (ISSUED),26178 UNITED RD NE,,KINGSTON,KITSAP,20180201,3606219686,412259,GREENLEAF GROWERS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033449920010000,983450000
982,ACTIVE (ISSUED),419B OLD DOMINION RD BLDG 1,,COLVILLE,STEVENS,20180129,2063700109,426187,SIDEWAYS GREEN LLC,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6035269250010000,991149241
983,ACTIVE (ISSUED),1448 BASIN ST NW SUITE A,,EPHRATA,GRANT,20171204,5067541047,413366,CANNARAIL STATION,WA,MARIJUANA RETAILER,6035548960010000,988239695
984,ACTIVE (ISSUED),1824 RD N NE UNIT 3,,MOSES LAKE,GRANT,20171219,5092900631,412719,EVERGREEN ACRES,WA,MARIJUANA PRODUCER TIER 3,6033520610010000,988370000
985,ACTIVE (ISSUED),11503 60TH ST NE,,LAKE STEVENS,SNOHOMISH,20180226,4253270749,416855,SIERRA GREEN,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6035504830010000,982588733
986,ACTIVE (ISSUED),4820 YELM HWY SE SUITE D,,LACEY,THURSTON,20180227,5304010839,414963,LUCID,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033590350010000,985033402
987,ACTIVE (ISSUED),728 TURKEY RANCH RD STE A,,GOLDENDALE,KLICKITAT,20180228,5097734100,412169,BLACK DOG ACRES,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033744980010000,986202329
988,ACTIVE (ISSUED),1052 E SOUTH ISLAND DR STE A,,SHELTON,MASON,20180203,3604263356,414123,PHARMER IN THE DELL ENTERPRISES,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033550850010000,985849454
989,ACTIVE (ISSUED),27613 127TH AVE NE UNIT A,,ARLINGTON,SNOHOMISH,20180118,4258791797,414030,STILLY BLUE,WA,MARIJUANA PRODUCER TIER 1,6025288650010000,982239342
990,ACTIVE (ISSUED),202 N CRESTLINE ST #1,,SPOKANE,SPOKANE,20180306,5097103240,412634,"M-R WHOLESALE, LLC",WA,MARIJUANA PROCESSOR,6028105730010000,992020000
991,ACTIVE (ISSUED),1799 TOUCHET N RD STE A,SUITE A,TOUCHET,WALLA WALLA,20171220,5093942453,413019,THE GREEN GREEN GRASS OF HOME,WA,MARIJUANA PROCESSOR,6033520140010000,993600000
992,ACTIVE (ISSUED),1716 SUNNYSIDE BLVD,,LAKE STEVENS,SNOHOMISH,20171208,4252390108,413179,MEDICINE WOMAN,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6011262230010000,982583122
993,ACTIVE (ISSUED),1120 S FAIRCHILD ST  STE A,,MEDICAL LAKE,SPOKANE,20170914,5099444911,417295,LOPEZ AND ORR CO,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6035233300010000,990228778
994,ACTIVE (ISSUED),15505 WEBBER CANYON RD PEN B,,BENTON CITY,BENTON,20171122,5712956581,416984,RANDOLPH AND MORTIMER,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033590120010000,983206508
995,ACTIVE (ISSUED),4509 S CHEATHAM RD STE A,,SPOKANE,SPOKANE,20171118,2086603810,416062,PREMIER CANNABIS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033485240010000,992245654
996,ACTIVE (ISSUED),7359 OLD PACIFIC HWY S,,KALAMA,COWLITZ,20180227,3607898891,423145,GREEN LADY MARIJUANA,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035911620010000,986250000
997,ACTIVE (ISSUED),17730 AMBAUM BLVD S UNIT E,,BURIEN,KING,20171221,2068128092,420741,LIVING WELL ENTERPRISES,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033394100010000,981481785
998,ACTIVE (ISSUED),2309 WEST EDGEWOOD DRIVE,,PORT ANGELES,CLALLAM,20171003,3605139812,413087,SUSTAINNABIS COMPANY,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033376570010000,983639576
999,ACTIVE (ISSUED),9506 19TH AVE SE,,EVERETT,SNOHOMISH,20180108,2065506021,414893,MARI J'S HIGHWAY POT SHOP,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033584010010000,982083801
1000,ACTIVE (ISSUED),4325 S FEY RD,,PORT ANGELES,CLALLAM,20180202,3604602992,414116,AAA BIO-DYNAMIC,WA,MARIJUANA PRODUCER TIER 1,6014882920010000,983639464
1001,ACTIVE (ISSUED),6205 E MANSFIELD AVE STE 100,,SPOKANE VALLEY,SPOKANE,20171109,5099988071,416843,THE HAPPY CROWD,WA,MARIJUANA PROCESSOR,6033506150010000,992120000
1002,ACTIVE (ISSUED),351 W MERZ RD STE 1,STE 1,SUNNYSIDE,YAKIMA,20171202,5098376539,413084,DOUBLE DUTCH,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033506060010000,989449418
1003,ACTIVE (ISSUED),3053 RIGGS RD,STE A,TOUCHET,WALLA WALLA,20170923,2535691700,416511,BLACK DIAMOND CANNABIS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033377320010000,993600000
1004,ACTIVE (ISSUED),6283 NOON RD STE A,,EVERSON,WHATCOM,20180103,3607469148,413719,NORTHWEST ORGANIC NURSERY,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033522750010000,982479663
1005,ACTIVE (ISSUED),3650 & 1/2 FAIRVIEW CANYON RD,,MONITOR,CHELAN,20171014,5096791590,412099,COPELAND'S CANNABIS FARM,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033427680010000,988360000
1006,ACTIVE (ISSUED),2259 ADDY GIFFORD RD,,ADDY,STEVENS,20171121,2062261501,412576,MOUNTAIN HIGH ORGANICS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033513320010000,991019712
1007,ACTIVE (ISSUED),1799 TOUCHET N RD STE B,STE B,TOUCHET,WALLA WALLA,20171221,5093942453,413955,THE GREEN GREEN GRASS OF HOME,WA,MARIJUANA PROCESSOR,6033520140010000,993600000
1008,ACTIVE (ISSUED),4326 LYONS HILL RD   STE B,,SPRINGDALE,STEVENS,20171205,6178756637,412600,LUCHINI SUPERCRITICAL,WA,MARIJUANA PROCESSOR,6033472250010000,991739728
1009,ACTIVE (ISSUED),212 N GALES ST STE A,,PORT ANGELES,CLALLAM,20171102,2065010879,416677,DANK INC.,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6032437310010000,983628731
1010,ACTIVE (ISSUED),2341 ELMWAY,,OKANOGAN,OKANOGAN,20171114,5097331540,425204,KARIBOU TRAIL COURIERS,WA,MARIJUANA TRANSPORTATION,6041384180010000,988409623
1011,ACTIVE (ISSUED),11537 RAINIER AVE S,,SEATTLE,KING,20171102,2063210149,413803,CLUTCH CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033522420010000,981783984
